data;valor_usd_milhoes;fonte
01/01/2021;268.5;BCB-SGS-22741
01/02/2021;211.5;BCB-SGS-22741
01/03/2021;213.3;BCB-SGS-22741
01/04/2021;164.0;BCB-SGS-22741
01/05/2021;194.5;BCB-SGS-22741
01/06/2021;227.8;BCB-SGS-22741
01/07/2021;222.8;BCB-SGS-22741
01/08/2021;251.6;BCB-SGS-22741
01/09/2021;236.3;BCB-SGS-22741
01/10/2021;265.8;BCB-SGS-22741
01/11/2021;320.3;BCB-SGS-22741
01/12/2021;370.9;BCB-SGS-22741
01/01/2022;421.2;BCB-SGS-22741
01/02/2022;359.7;BCB-SGS-22741
01/03/2022;452.6;BCB-SGS-22741
01/04/2022;394.2;BCB-SGS-22741
01/05/2022;373.3;BCB-SGS-22741
01/06/2022;388.3;BCB-SGS-22741
01/07/2022;388.5;BCB-SGS-22741
01/08/2022;431.0;BCB-SGS-22741
01/09/2022;416.3;BCB-SGS-22741
01/10/2022;413.4;BCB-SGS-22741
01/11/2022;442.9;BCB-SGS-22741
01/12/2022;471.0;BCB-SGS-22741
01/01/2023;603.7;BCB-SGS-22741
01/02/2023;529.5;BCB-SGS-22741
01/03/2023;569.7;BCB-SGS-22741
01/04/2023;451.7;BCB-SGS-22741
01/05/2023;566.7;BCB-SGS-22741
01/06/2023;508.0;BCB-SGS-22741
01/07/2023;566.6;BCB-SGS-22741
01/08/2023;657.2;BCB-SGS-22741
01/09/2023;566.5;BCB-SGS-22741
01/10/2023;650.0;BCB-SGS-22741
01/11/2023;616.1;BCB-SGS-22741
01/12/2023;621.6;BCB-SGS-22741
01/01/2024;800.6;BCB-SGS-22741
01/02/2024;673.3;BCB-SGS-22741
01/03/2024;591.7;BCB-SGS-22741
01/04/2024;619.6;BCB-SGS-22741
01/05/2024;522.9;BCB-SGS-22741
01/06/2024;500.3;BCB-SGS-22741
01/07/2024;614.8;BCB-SGS-22741
01/08/2024;555.2;BCB-SGS-22741
01/09/2024;530.3;BCB-SGS-22741
01/10/2024;595.9;BCB-SGS-22741
01/11/2024;615.7;BCB-SGS-22741
01/12/2024;720.7;BCB-SGS-22741
01/01/2025;805.4;BCB-SGS-22741
01/02/2025;823.1;BCB-SGS-22741
01/03/2025;772.6;BCB-SGS-22741
01/04/2025;693.3;BCB-SGS-22741
01/05/2025;553.2;BCB-SGS-22741
01/06/2025;539.3;BCB-SGS-22741
01/07/2025;696.4;BCB-SGS-22741
01/08/2025;564.6;BCB-SGS-22741
01/09/2025;595.6;BCB-SGS-22741
01/10/2025;573.5;BCB-SGS-22741
01/11/2025;560.2;BCB-SGS-22741
01/12/2025;687.7;BCB-SGS-22741
